,QUESTION,CONTEXTS,LABELS,MESHES,YEAR,reasoning_required_pred,reasoning_free_pred,final_decision,LONG_ANSWER
25752725,Schizophrenia patients with high intelligence: A clinically distinct sub-type of schizophrenia?,"[""Schizophrenia patients are typically found to have low IQ both pre- and post-onset, in comparison to the general population. However, a subgroup of patients displays above average IQ pre-onset. The nature of these patients' illness and its relationship to typical schizophrenia is not well understood. The current study sought to investigate the symptom profile of high-IQ schizophrenia patients."", 'We identified 29 schizophrenia patients of exceptionally high pre-morbid intelligence (mean estimated pre-morbid intelligence quotient (IQ) of 120), of whom around half also showed minimal decline (less than 10 IQ points) from their estimated pre-morbid IQ. We compared their symptom scores (SAPS, SANS, OPCRIT, MADRS, GAF, SAI-E) with a comparison group of schizophrenia patients of typical IQ using multinomial logistic regression.', 'The patients with very high pre-morbid IQ had significantly lower scores on negative and disorganised symptoms than typical patients (RRR=0.019; 95% CI=0.001, 0.675, P=0.030), and showed better global functioning and insight (RRR=1.082; 95% CI=1.020, 1.148; P=0.009). Those with a minimal post-onset IQ decline also showed higher levels of manic symptoms (RRR=8.213; 95% CI=1.042, 64.750, P=0.046).']","['BACKGROUND', 'METHODS', 'RESULTS']","['Adult', 'Cognition', 'Female', 'Humans', 'Intelligence', 'Intelligence Tests', 'Male', 'Middle Aged', 'Neuropsychological Tests', 'Schizophrenia', 'Schizophrenic Psychology']",2015,yes,yes,yes,"These findings provide evidence for the existence of a high-IQ variant of schizophrenia that is associated with markedly fewer negative symptoms than typical schizophrenia, and lends support to the idea of a psychosis spectrum or continuum over boundaried diagnostic categories."
24232067,Do audiologic characteristics predict outcomes in children with unilateral hearing loss?,"['To determine whether audiologic characteristics of unilateral hearing loss in children were associated with language, cognitive, or achievement scores.', 'Case-control study', 'Pediatric otolaryngology ambulatory practice', 'Cases (n = 109) were children aged 6 to 12 years with permanent unilateral hearing loss; controls (n = 95) were siblings with normal bilateral hearing.', 'Audiologic characteristics measured included side and severity of hearing loss and word recognition scores in quiet and in noise.', 'Cognitive abilities were measured using the Wechsler Abbreviated Scale of Intelligence; reading, math, and writing achievement was measured with the Wechsler Individual Achievement Test - Second Edition - Abbreviated; and oral language skills were measured with the Oral Written and Language Scales.', 'Children with unilateral hearing loss had worse verbal cognitive and oral language scores than children with normal hearing, but there were no differences in achievement scores. Children with profound unilateral hearing loss tended to have worse cognitive scores and had significantly lower oral language scores. Higher word recognition scores of the normal hearing ear in quiet were associated with higher cognitive, oral language, and reading achievement scores. Higher word recognition scores in noise were slightly correlated with higher oral language scores.']","['OBJECTIVE', 'STUDY DESIGN', 'SETTING', 'PATIENTS', 'INTERVENTIONS', 'MAIN OUTCOME MEASURES', 'RESULTS']","['Case-Control Studies', 'Child', 'Cognition', 'Female', 'Hearing Loss, Unilateral', 'Humans', 'Intelligence', 'Language Development', 'Male', 'Neuropsychological Tests', 'Recognition (Psychology)', 'Speech Perception']",2013,,,,"As expected, children with unilateral hearing loss had worse language scores than their siblings with normal hearing, with trends toward worse cognitive scores. Children with profound unilateral hearing loss tended to have worse outcomes than children with normal hearing or less severe unilateral loss. However, there were no differences in outcomes between children with right or left unilateral hearing loss."
27286937,Do emotional intelligence and previous caring experience influence student nurse performance?,"['Reports of poor nursing care have focused attention on values based selection of candidates onto nursing programmes. Values based selection lacks clarity and valid measures. Previous caring experience might lead to better care. Emotional intelligence (EI) might be associated with performance, is conceptualised and measurable.', 'To examine the impact of 1) previous caring experience, 2) emotional intelligence 3) social connection scores on performance and retention in a cohort of first year nursing and midwifery students in Scotland.', 'A longitudinal, quasi experimental design.', 'Adult and mental health nursing, and midwifery programmes in a Scottish University.', ""Adult, mental health and midwifery students (n=598) completed the Trait Emotional Intelligence Questionnaire-short form and Schutte's Emotional Intelligence Scale on entry to their programmes at a Scottish University, alongside demographic and previous caring experience data. Social connection was calculated from a subset of questions identified within the TEIQue-SF in a prior factor and Rasch analysis. Student performance was calculated as the mean mark across the year. Withdrawal data were gathered."", '598 students completed baseline measures. 315 students declared previous caring experience, 277 not. An independent-samples t-test identified that those without previous caring experience scored higher on performance (57.33±11.38) than those with previous caring experience (54.87±11.19), a statistically significant difference of 2.47 (95% CI, 0.54 to 4.38), t(533)=2.52, p=.012. Emotional intelligence scores were not associated with performance. Social connection scores for those withdrawing (mean rank=249) and those remaining (mean rank=304.75) were statistically significantly different, U=15,300, z=-2.61, p$_amp_$lt;0.009.']","['BACKGROUND', 'OBJECTIVES', 'DESIGN', 'SETTING', 'METHODS', 'RESULTS']","['Adolescent', 'Adult', 'Cohort Studies', 'Emotional Intelligence', 'Empathy', 'Female', 'Humans', 'Longitudinal Studies', 'Male', 'Middle Aged', 'Quality of Health Care', 'Scotland', 'Social Values', 'Students, Nursing', 'Surveys and Questionnaires']",2016,,,,Previous caring experience led to worse performance in this cohort. Emotional intelligence was not a useful indicator of performance. Lower scores on the social connection factor were associated with withdrawal from the course.
24686463,Does brain volume loss predict cognitive and narrative discourse performance following traumatic brain injury?,"['In this study, the authors investigated the relationship between brain volume loss and performance on cognitive measures, including working memory, immediate memory, executive functions, and intelligence, and a narrative discourse production task. An underlying goal was to examine the prognostic potential of a brain lesion metric for discourse outcomes. It was hypothesized that brain volume loss would correlate with and predict cognitive and narrative discourse measures and have prognostic value for discourse outcomes.', 'One hundred sixty-seven individuals with penetrating head injury participated. Correlational and regression analyses were performed for the percentages of total brain and hemispheric volume loss and scores on 4 cognitive measures (WMS-III Working Memory and Immediate Memory primary indexes, D-KEFS Sorting Test, and WAIS-III Full Scale IQ) and 7 narrative discourse measures (T-units, grammatical complexity, cohesion, local and global coherence, story completeness, and story grammar).', 'The volumetric measures had significant small-to-moderate correlations with all cognitive measures but only one significant correlation with the discourse measures. Findings from regression analyses were analogous but revealed several models that approached significance.']","['PURPOSE', 'METHOD', 'RESULTS']","['Aged', 'Atrophy', 'Brain', 'Brain Injuries', 'Cognition Disorders', 'Executive Function', 'Head Injuries, Penetrating', 'Humans', 'Language Disorders', 'Male', 'Memory, Short-Term', 'Middle Aged', 'Narration', 'Neuropsychological Tests', 'Organ Size', 'Predictive Value of Tests', 'Tomography, X-Ray Computed', 'Veterans', 'Vietnam Conflict', 'Wechsler Scales']",2014,,,,Findings suggest that an overall measure of brain damage may be more predictive of general cognitive status than of narrative discourse ability. Atrophy measures in specific brain regions may be more informative.
26286897,Does emotional intelligence predict breaking bad news skills in pediatric interns?,"['While both patients and physicians identify communication of bad news as an area of great challenge, the factors underlying this often complex task remain largely unknown. Emotional intelligence (EI) has been positively correlated with good general communication skills and successful leadership, but there is no literature relating EI to the delivery of bad news.', 'Our objectives were to determine: 1) performance of first-year pediatric residents in the delivery of bad news in a standardized patient (SP) setting; and 2) the role of EI in these assessments. Our hypothesis was that pediatric trainees with higher EI would demonstrate more advanced skills in this communication task.', 'Forty first-year residents participated. Skill in bad news delivery was assessed via SP encounters using a previously published assessment tool (GRIEV_ING Death Notification Protocol). Residents completed the Emotional and Social Competency Inventory (ESCI) as a measure of EI.', 'Residents scored poorly on bad news delivery skills but scored well on EI. Intraclass correlation coefficients indicated moderate to substantial inter-rater reliability among raters using the delivering bad news assessment tool. However, no correlation was found between bad news delivery performance and EI.']","['BACKGROUND', 'PURPOSE', 'METHODS', 'RESULTS']","['Communication', 'Emotional Intelligence', 'Female', 'Humans', 'Internship and Residency', 'Male', 'Patient Simulation', 'Pediatrics', 'Physician-Patient Relations', 'Pilot Projects', 'Reproducibility of Results']",2015,,,,"We concluded that first-year pediatric residents have inadequate skills in the delivery of bad news. In addition, our data suggest that higher EI alone is not sufficient to effectively deliver death news and more robust skill training is necessary for residents to gain competence and acquire mastery in this important communication domain."
24390744,Is there a difference in cognitive development between preschool singletons and twins born after intracytoplasmic sperm injection or in vitro fertilization?,"['To explore whether there exist differences in cognitive development between singletons and twins born after in vitro fertilization (IVF) or intracytoplasmic sperm injection (ICSI).', 'A total of 566 children were recruited for the study, including 388 children (singletons, n=175; twins, n=213) born after IVF and 178 children (singletons, n=87; twins, n=91) born after ICSI. The cognitive development was assessed using the Chinese-Wechsler Intelligence Scale for Children (C-WISC).', 'For all pre-term offspring, all the intelligence quotient (IQ) items between singletons and twins showed no significant differences no matter if they were born after IVF or ICSI. There was a significant difference in the cognitive development of IVF-conceived full-term singletons and twins. The twins born after IVF obtained significantly lower scores than the singletons in verbal IQ (containing information, picture&vocabulary, arithmetic, picture completion, comprehension, and language), performance IQ (containing maze, visual analysis, object assembly, and performance), and full scale IQ (P<0.05). The cognitive development of full-term singletons and twins born after ICSI did not show any significant differences. There was no significant difference between the parents of the singletons and twins in their characteristics where data were collected, including the age of the mothers, the current employment status, the educational backgrounds, and areas of residence. There were also no consistent differences in the duration of pregnancy, sex composition of the children, age, and height between singletons and twins at the time of our study although there existed significant differences between the two groups in the sex composition of the full-term children born after ICSI (P<0.05).']","['OBJECTIVE', 'METHODS', 'RESULTS']","['Child Development', 'Child, Preschool', 'Cognition', 'Female', 'Fertilization in Vitro', 'Humans', 'Intelligence', 'Intelligence Tests', 'Male', 'Sperm Injections, Intracytoplasmic', 'Treatment Outcome', 'Twins']",2014,,,,"Compared to the full-term singletons born after IVF, the full-term twins have lower cognitive development. The cognitive development of full-term singletons and twins born after ICSI did not show any significant differences. For all pre-term offspring, singletons and twins born after IVF or ICSI, the results of the cognitive development showed no significant differences."
24089322,Multiple-choice vocabulary intelligence test MWT in schizophrenia: valid measure of premorbid intelligence?,"['The multiple-choice vocabulary intelligence test MWT (Mehrfachwahl-Wortschatz-Intelligenztest) as a measure of premorbid IQ is widely used in clinical practice and research in Germany. The study examined whether the MWT is actually insensitive to brain dysfunction and psychopathology in patients with schizophrenia.', '81 post-acute patients with schizophrenia and 27 matched healthy controls completed the MWT at two points in time. At baseline, we further applied a neuropsychological test battery and a psychopathology rating.', 'The multiple linear regression analysis showed that the MWT-IQ of patients is significantly confounded by neuropsychological dysfunctions and psychopathology. The repeated measurement ANOVA pointed to a significant recovery effect of the MWT-IQ during clinical remission in the patient group.']","['OBJECTIVE', 'METHOD', 'RESULTS']","['Adult', 'Female', 'Follow-Up Studies', 'Humans', 'Intelligence', 'Intelligence Tests', 'Male', 'Middle Aged', 'Neuropsychological Tests', 'Prodromal Symptoms', 'Psychiatric Status Rating Scales', 'Psychometrics', 'Psychotic Disorders', 'Reference Values', 'Reproducibility of Results', 'Schizophrenia', 'Schizophrenia, Paranoid', 'Schizophrenic Psychology', 'Vocabulary', 'Young Adult']",2014,,,,The results question the validity of the MWT as a measure of premorbid IQ in schizophrenia.
24556771,Does emotional intelligence at medical school admission predict future academic performance?,"['Medical school admissions committees are increasingly considering noncognitive measures like emotional intelligence (EI) in evaluating potential applicants. This study explored whether scores on an EI abilities test at admissions predicted future academic performance in medical school to determine whether EI could be used in making admissions decisions.', 'The authors invited all University of Ottawa medical school applicants offered an interview in 2006 and 2007 to complete the Mayer-Salovey-Caruso EI Test (MSCEIT) at the time of their interview (105 and 101, respectively), then again at matriculation (120 and 106, respectively). To determine predictive validity, they correlated MSCEIT scores to scores on written examinations and objective structured clinical examinations (OSCEs) administered during the four-year program. They also correlated MSCEIT scores to the number of nominations for excellence in clinical performance and failures recorded over the four years.', 'The authors found no significant correlations between MSCEIT scores and written examination scores or number of failures. The correlations between MSCEIT scores and total OSCE scores ranged from 0.01 to 0.35; only MSCEIT scores at matriculation and OSCE year 4 scores for the 2007 cohort were significantly correlated. Correlations between MSCEIT scores and clinical nominations were low (range 0.12-0.28); only the correlation between MSCEIT scores at matriculation and number of clinical nominations for the 2007 cohort were statistically significant.']","['PURPOSE', 'METHOD', 'RESULTS']","['Clinical Competence', 'Educational Measurement', 'Emotional Intelligence', 'Female', 'Humans', 'Male', 'Ontario', 'Predictive Value of Tests', 'School Admission Criteria', 'Schools, Medical', 'Young Adult']",2014,,,,"EI, as measured by an abilities test at admissions, does not appear to reliably predict future academic performance. Future studies should define the role of EI in admissions decisions."
24579285,Emotional intelligence subscales: are they correlated with child anxiety and behavior in the dental setting?,"['The present study aimed at evaluating the correlation between emotional intelligence subscales and childs anxiety and behavior in the dental setting.', 'The study included 123 children aged 7-12 years, who were scheduled to attend two consecutive sessions. In the first session, the Bar-On Emotional Quotient Inventory: Youth Version (Bar-on EQ-I: YV) was administered to participants. The anxiety and behavior in children was evaluated during similar dental procedures in the second session using the Clinical Anxiety Rating Scale and the Frankl scale, respectively.', '23 children were eliminated from the study, leaving 100 participants (47 boys and 53 girls) with a mean age of 9.32 +/- 1.59 years for study. There were statistically significant positive correlations between Frankl score and EQ total score (p<0.001), interpersonal scale (p<0.001), intrapersonal scale (p<0.001), stress management (p = 0.03) and adaptability scale (p<0.001). Significant negative correlations were found between anxiety score and, EQ total score (p<0.001), interpersonal scale (p<0.001), intrapersonal scale (p<0.001), and adaptability scale (p<0.001). Anxiety and stress management were not correlated (p = 0.16). Total EQ and EQ subscales can predict significance variance of Frankl score (p<0.05) and anxiety score (p<0.05) without confounding effect of age and sex (p>0.05).']","['OBJECTIVES', 'STUDY DESIGN', 'RESULTS']","['Adaptation, Psychological', 'Child', 'Child Behavior', 'Dental Anxiety', 'Dental Care', 'Emotional Intelligence', 'Female', 'Humans', 'Interpersonal Relations', 'Linear Models', 'Male', 'Patient Acceptance of Health Care', 'Psychiatric Status Rating Scales', 'Statistics, Nonparametric', 'Stress, Psychological']",2013,,,,"The results provide evidence that children with higher total EQ as well as higher scores of intrapersonal, interpersonal, adaptability and stress management scales can generally be flexible and effective in coping in the dental setting. Higher score in stress management subscale seems to be related to better control over affective information including anxiety compared with other subscales in stressful situations. Overall, they behave and cooperate better than children with lower scores."
23732046,Do dietary patterns influence cognitive function in old age?,"['Evidence from observational studies to date suggests that healthy dietary patterns are associated with better cognitive performance in later life. We examined the extent to which childhood intelligence quotient (IQ) and socioeconomic status account for this association.', 'Analyses were carried out on 882 participants in the Lothian Birth Cohort 1936 Study. Four dietary patterns were extracted using principal components analysis of a food frequency questionnaire, namely ""Mediterranean-style,"" ""health aware,"" ""traditional,"" and ""sweet foods."" Cognitive function was assessed at the age of 70 years, including general (g) cognitive ability, processing speed, memory, and verbal ability.', 'Before adjustment for childhood IQ and socioeconomic status, the ""Mediterranean-style"" dietary pattern was associated with significantly better cognitive performance (effect size as partial eta-square (ηp(2)) range = 0.005 to 0.055), and the ""traditional"" dietary pattern was associated with poorer performance on all cognitive domains measured in old age (ηp(2) = 0.009 to 0.103). After adjustment for childhood IQ (measured at the age of 11 years) and socioeconomic status, statistical significance was lost for most associations, with the exception of verbal ability and the ""Mediterranean-style"" pattern (National Adult Reading Test (NART) ηp(2) = 0.006 and Wechsler Test of Adult Reading (WTAR) ηp(2) = 0.013), and the ""traditional"" pattern (NART ηp(2) = 0.035 and WTAR ηp(2) = 0.027).']","['BACKGROUND', 'METHODS', 'RESULTS']","['Aged', 'Aging', 'Cognition', 'Diet', 'Female', 'Follow-Up Studies', 'Food Preferences', 'Health Status', 'Humans', 'Intelligence', 'Intelligence Tests', 'Logistic Models', 'Longitudinal Studies', 'Male', 'Memory', 'Neuropsychological Tests', 'Social Class', 'Socioeconomic Factors', 'Surveys and Questionnaires', 'United Kingdom']",2013,,,,"Our results suggest a pattern of reverse causation or confounding; a higher childhood cognitive ability (and adult socioeconomic status) predicts adherence to a ""healthy"" diet and better cognitive performance in old age. Our models show no direct link between diet and cognitive performance in old age; instead they are related via the lifelong-stable trait of intelligence."
