question,answer
Are group 2 innate lymphoid cells ( ILC2s ) increased in chronic rhinosinusitis with nasal polyps or eosinophilia?,"As ILC2s are elevated in patients with CRSwNP, they may drive nasal polyp formation in CRS. ILC2s are also linked with high tissue and blood eosinophilia and have a potential role in the activation and survival of eosinophils during the Th2 immune response. The association of innate lymphoid cells in CRS provides insights into its pathogenesis."
Do tumor-infiltrating immune cell profiles and their change after neoadjuvant chemotherapy predict response and prognosis of breast cancer?,"Breast cancer immune cell subpopulation profiles, determined by immunohistochemistry-based computerized analysis, identify groups of patients characterized by high response (in the pre-treatment setting) and poor prognosis (in the post-treatment setting). Further understanding of the mechanisms underlying the distribution of immune cells and their changes after chemotherapy may contribute to the development of new immune-targeted therapies for breast cancer."
Is hidradenitis suppurativa a systemic disease with substantial comorbidity burden : a chart-verified case-control analysis?,Control subjects were not validated for absence of HS and comorbidity validation was not performed for either group.
Does reference range for serum and salivary testosterone in young men of Mediterranean region?,"In men from the Mediterranean region, values of TT>9.7 nmol/L, CFT>0.22 nmol/L, and/or CBT>4.9 nmol/L make the presence of biochemical hypogonadism unlikely. According to the correlation between serum and ST, the clinical value of ST remains to be established."
Do systematic Reviews Published in Emergency Medicine Journals Routinely Search Clinical Trials Registries : A Cross-Sectional Analysis?,"Systematic reviews published in emergency medicine journals do not routinely include searches of clinical trials registries. By helping authors identify unpublished trial data, the addition of registry searches may improve the validity of systematic reviews."
Does promoter variant rs2301228 on the neural cell adhesion molecule 1 gene confer risk of schizophrenia in Han Chinese?,"Our results provide direct evidence for NCAM1 as a susceptibility gene for schizophrenia, which offers support to a neurodevelopmental model and neuronal connectivity hypothesis in the onset of schizophrenia."
Are reasons why erupted third molars extracted in a public university in Mexico?,"Women and patients 18 to 34 years of age had erupted 3M extracted more frequently, primarily for prosthetic reasons. The age profile indicated a trend in demand for services that differ from those of overall tooth extractions, but not for the trend across gender."
Do large portion sizes increase bite size and eating rate in overweight women?,"Increasing portion size led to a larger bite size and faster eating rate, but a slower reduction in eating speed during the meal. These changes may underlie greater energy intakes with exposure to large portions. Interventions to reduce bite size and slow eating rate may provide individuals with strategies to reduce the risk of overconsumption."
Are routine preoperative restaging CTs after neoadjuvant chemoradiation for locally advanced rectal cancer low yield : a retrospective case study?,"Because of the financial costs and established risks of intravenous contrast and cumulative radiation exposure, it may be advisable to take a more selective approach to preoperative imaging. Larger, prospective studies may enable identification of an at-risk cohort who would benefit most from restaging CT."
Do two decades of British newspaper coverage regarding attempt cardiopulmonary resuscitation decisions : Lessons for clinicians?,"Regarding DNACPR decision-making, the predominant theme was perceived lack of patient involvement, and, more recently, lack of surrogate involvement. Negative language was common, especially when decisions were presumed unilateral. Increased dialogue, and shared decision-making, is recommended."
Is increased time from neoadjuvant chemoradiation to surgery associated with higher pathologic complete response rates in esophageal cancer?,A longer interval between completion of neoadjuvant chemoradiation and surgery was associated with higher pathologic complete response rates without an impact on surgical morbidity.
Is epileptic focus localization based on resting state interictal MEG recordings feasible irrespective of the presence or absence of spikes?,"Our preliminary results suggest that accurate localization of the epileptogenic focus may be accomplished using noninvasive spontaneous ""resting-state"" recordings of relatively brief duration and without the need to capture definite interictal and/or ictal abnormalities."
Does a migrating ciliary gate compartmentalize the site of axoneme assembly in Drosophila spermatids?,"Our findings demonstrate that the ciliary gate can migrate away from the base of the cilium, thereby functioning independently of the centriole and of a static interaction with the axoneme to compartmentalize the site of axoneme assembly."
Is decreased expression of liver-type fatty acid-binding protein associated with poor prognosis in hepatocellular carcinoma?,L-FABP was downregulated in HCC and could be served as a promising prognostic marker for HCC patients.
Are low serum levels of vitamin D associated with post-stroke depression?,Serum vitamin D levels within 24 h after admission are found to be associated with PSD and may predict its development at 1 month post-stroke.
Are polymorphisms near TBX5 and GDF7 associated with increased risk for Barrett 's esophagus?,"We identified 2 loci associated with risk of BE and provided data to support a further locus. The genes we found to be associated with risk for BE encode transcription factors involved in thoracic, diaphragmatic, and esophageal development or proteins involved in the inflammatory response."
"Does danzhi Xiaoyao San ameliorate depressive-like behavior by shifting toward serotonin via the downregulation of hippocampal indoleamine 2,3-dioxygenase?",DXS exhibited antidepressant-like effects on rats exposed to CUMS. DXS reduced IDO activity to shift the balance of the Kyn/5-HT pathway toward the 5-HT pathway.
Does poor sleep predict symptoms of depression and disability retirement due to depression?,Lack of baseline diagnostic interviews; sleep quality based on self-report.
Is tGFBI Expression in Cancer Stromal Cells Associated with Poor Prognosis and Hematogenous Recurrence in Esophageal Squamous Cell Carcinoma?,High TGFBI expression in ESCC tissues could be a powerful biomarker of poor prognosis and hematogenous recurrence. TGFBI in stromal cells might be a promising molecular target for ESCC treatment.
Are autoimmune features associated with chronic antibiotic-refractory pouchitis?,"There is marked overlap of certain immune markers in patients with pouch dysfunction, especially those with CARP. Microsomal antibody expression and elevated IgG4-positive plasma cell infiltration were independent risk factors for CARP."
Does identical ATP1A3 mutation cause alternating hemiplegia of childhood and rapid-onset dystonia parkinsonism phenotypes?,"The discordance of these phenotypes suggests that there are other undiscovered environmental, genetic, or epigenetic factors influencing the development of alternating hemiplegia of childhood or rapid-onset dystonia parkinsonism."
Does metabolic control analysis of the Trypanosoma cruzi peroxide detoxification pathway identify tryparedoxin as a suitable drug target?,"These quantitative kinetic and metabolic analyses pointed out to TXN as a convenient drug target due to its low catalytic efficiency, high control on the flux of peroxide detoxification and role as provider of reducing equivalents to the two main peroxidases in the parasite."
Are lobar microbleeds associated with a decline in executive functioning in older adults?,"Lobar microbleeds, a marker of cerebral amyloid angiopathy, are associated with an accelerated rate of executive function decline. The presence of cerebral amyloid angiopathy may be an important source of cognitive decline in aging. Future work should examine how cerebral amyloid angiopathy interacts with neurodegenerative processes, such as Alzheimer's disease."
Is self-reported physical activity in smoking pre-cessation a protective factor against relapse for all?,"Previous quit attempts and professional activity were positive predictors of smoking abstinence, with alcohol use disorder a negative predictor. PA was not found to be a significant predictor of smoking relapse, with only a positive interaction term seen for persons on antidepressant treatment. (Am J Addict 2014;XX:1-7)."
Do a new model for the standardization of experimental burn wounds?,"This is a safe, reliable, easy to construct and use model that has the ability to produce a regular and uniform reproducible burn due to precise temperature control associated with standardized animal positioning."
